title,company,location,contract_type,posted_date,education_level,skills,languages,salary_range,description,url
Product Owner Retail CRM Program H/F,BNP Paribas,Rueil-Malmaison,Not specified,2025-04-01,Master's,Salesforce; user story creation; business process documentation; agile methodologies; stakeholder management; product backlog management; training session management,English; French,Not specified,"BNP Paribas Arval is seeking a Product Owner for their Retail CRM Program, who will join the Retail Sales Factory & Customer Experience team as part of the Retail Corporate direction in an international environment. The primary responsibilities include managing a productive backlog for various streams such as Corporate Sales, Retail Sales, Global Ops, and Marketing, as well as understanding and prioritizing business requirements within the CRM Core Model aligned with the global Target Operati...",https://www.glassdoor.fr/job-listing/j?jl=1009691514087
Spécialiste Facturation et Comptabilité du Revenu EMEAI,Dassault Systèmes,Vélizy,CDI,2025-04-01,Master II en Finance ou Comptabilité,facturation; comptabilité; normes IFRS 15; audit financier; Excel; dématérialisation des factures,Français; Anglais,Not specified,"Dassault Systèmes is seeking a Specialist in Billing and Revenue Accounting for their Customer To Cash EMEAI team, located in Vélizy-Villacoublay, to support their rapid growth. The role involves managing billing processes for software contracts, ensuring timely invoicing compliant with legal and fiscal obligations, addressing customer billing inquiries, and participating in electronic billing projects.",https://www.glassdoor.fr/job-listing/j?jl=1009691442387
Equity Listing Intern,Euronext,Paris,Internship,2025-04-01,Master's,project management; market sizing; financial modelling; data analysis; organisational skills; analytical skills; problem-solving skills; communication skills,English; French,Not specified,"Euronext, a leading pan-European market infrastructure and the largest listing venue in Europe, is seeking an intern for its Primary Markets department, specifically within the Equity Listing team. This role involves assisting with crucial projects aimed at enhancing Euronext's offerings and its competitive positioning as a listing venue globally.",https://www.glassdoor.fr/job-listing/j?jl=1009691333675
Intern - Energy Consumption of Quantum Computing (September 2025),Alice & Bob,Paris,Internship,2025-04-01,Master's,python; instrumentation; quantum mechanics; quantum algorithms,English,Not specified,"Alice & Bob is seeking an intern to contribute to the development of a fault-tolerant quantum computer utilizing the innovative Schrödinger cat qubit. The internship focuses on evaluating the real-world energy consumption of quantum hardware by implementing a software platform for automated monitoring, estimating energy usage for specific quantum applications, and analyzing power consumption in experiments and algorithms.",https://www.glassdoor.fr/job-listing/j?jl=1009691599484
Intern - Numerical Quantum Simulation (September 2025),Alice & Bob,Paris,Internship,2025-04-01,Master's,Python programming; numerical modeling; variational methods; quantum mechanics; density matrix formalism,Not specified,Not specified,"Alice & Bob is seeking an intern for their Simulation Model team to assist in developing efficient numerical simulation techniques for driven-dissipative bosonic systems, particularly focusing on cat qubits. The intern will engage in familiarizing themselves with concepts such as cat qubits, variational methods, and density matrix formalism while developing variational parametrizations to describe cat qubit dynamics.",https://www.glassdoor.fr/job-listing/j?jl=1009691263005
Analyste fonctionnel / Business analyst H/F,Smile Group,Asnières-sur-Seine,Not specified,2025-04-01,Not specified,Analyse des besoins; méthodes et process de digitalisation; Portail; Data; IA,English (not required),3000.0 - 3000.0 EUR monthly,"Smile, un leader européen de l'intégration open source, recherche un Business Analyst passionné par la technologie et l'innovation pour rejoindre son équipe dynamique de 1 500 collaborateurs dans 20 agences à travers 9 pays. Le candidat sera responsable de la collecte et de l'analyse des besoins métier, de la rédaction de spécifications fonctionnelles et techniques, de la participation à la conception de solutions et interfaces utilisateur, ainsi que de la collaboration avec les équipes de dé...",https://www.glassdoor.fr/job-listing/j?jl=1009691490788
Intern - Electrical RF Engineering (July 2025),Alice & Bob,Paris,Internship,2025-04-01,Bachelor's,RF instrumentation; RF technologies; quantum computing; RF measurement systems; signal characterization; analysis techniques; VNA; oscilloscope; transmission line theory; wave propagation,English,Not specified,"Alice & Bob is seeking a Hardware Instrumentation Engineer intern to join their innovative team focused on developing a universal, fault-tolerant quantum computer utilizing advanced superconducting qubits. The role involves assisting the engineering team with the integration of electronic control systems and RF equipment, actively participating in test activities, and conducting operational maintenance of RF control equipment.",https://www.glassdoor.fr/job-listing/j?jl=1009691599476
Directeur Général PME (h/f),Selescope,Paris,Not specified,2025-04-01,Bac +5,management d'une équipe de direction; stratégie commerciale en Grande distribution; mise en œuvre opérationnelle; outils d'analyse et de projection data; travail en mode projet; transformation digitale,anglais,Not specified,"Notre entreprise, une filiale d'un Groupe européen reconnu dans le domaine du bricolage et de la quincaillerie, recherche un Directeur Général PME (h/f) basé à Nancy (54) pour superviser l'ensemble des activités de la société, représentant 30 M€ de chiffre d'affaires et comptant environ 90 collaborateurs.",https://www.glassdoor.fr/job-listing/j?jl=1009691391824
ALTERNANCE - Pentester H/F - Septembre 2025,Chanel,Neuilly,Not specified,2025-04-01,Not specified,tests de sécurité; pentests; outils offensifs; évaluation de vulnérabilités; remédiation; amélioration de process,français; anglais,Not specified,"La Maison CHANEL recherche un étudiant en école d'ingénieur ou université pour intégrer son CHANEL Pentest Center au sein du département Cybersécurité, dans le cadre d'une alternance de un à deux ans débutant en septembre 2025. Le candidat retenu participera à la préparation et à la réalisation de tests de sécurité sur divers actifs technologiques, tels que les applications web et mobiles, l'IoT, ainsi que les infrastructures, et devra également identifier des scénarios d'attaques adaptés et ...",https://www.glassdoor.fr/job-listing/j?jl=1009691326687
Intern - Mechanical & Electrical Integration Engineering (July 2025),Alice & Bob,Paris,Internship,2025-04-01,Not specified,Mechanical design; Sizing; Strong understanding of general mechanics; Production; SolidWorks; 3D modeling; 2D ISO dimensioning; Solidworks PDM; Familiarity with material properties; Strong understanding of general electronics; Design of electronics systems; Analog signals; Digital signals; Measurements; Knowledge in RF system design; Knowledge in RF measurements; Proficient with office automation tools,English,Not specified,"Alice & Bob is seeking a Mechatronic Engineering Intern to join their innovative team focused on developing a groundbreaking, universal, fault-tolerant quantum computer utilizing the Schrödinger cat qubit. In this role, you will assist the engineering team with various tasks related to the design, development, and production of mechanical and mechatronic components, providing you with hands-on experience under the mentorship of senior engineers.",https://www.glassdoor.fr/job-listing/j?jl=1009691599485
ALTERNANCE Asset Manager Technique Résidentiels (H/F),LA FRANCAISE REAL ESTATE MANAGERS,Paris,Not specified,2025-04-01,Bac +4/5,Analyse; Synthèse; Gestion d’Actifs Immobiliers; Reporting technique; Suivi budgétaire; Relations avec les investisseurs; Gestion des données; Conformité technique; Enjeux environnementaux; Amélioration des performances énergétiques,Français; Anglais,Not specified,"La Française REM, a prominent asset management company specializing in real estate with over €30.7 billion in assets under management, is seeking an intern to support its Asset Management team servicing institutional clients. The intern will play a key role in various tasks including the acquisition and sale of properties by gathering and analyzing relevant information, contributing to business plans, and preparing data rooms.",https://www.glassdoor.fr/job-listing/j?jl=1009691555292
Responsable Prévention Sécurité en Business Unit Centre Bus de Flandre (Pantin 93) - F/H,RATP EPIC,Pantin,CDI,2025-04-01,BAC+2/BAC+3,prévention des risques; santé et sécurité au travail (SST); analyse et évaluation des risques; élaboration de politiques; animation de sessions de formation; suivi de conformité; audits internes et externes; enquête et analyse des écarts; établissement de plans d'actions,Not specified,35000.0 - 35000.0 EUR yearly,"The RATP is seeking a Safety Prevention Manager for the Bus Center in Flandre, located in Pantin (93). This position involves implementing the Health and Safety at Work (SST) policy, with key responsibilities including advising and assisting the Business Unit (BU) management on SST matters, analyzing and evaluating SST risks, proposing preventive strategies and objectives, and leading risk prevention initiatives within the unit.",https://www.glassdoor.fr/job-listing/j?jl=1009693771208
Social Media & Communication Internship,Procter & Gamble,Paris,Internship,2025-04-01,Not specified,communications toolkits; PR strategies; media partnerships; influencer marketing; social media management; content development; agency collaboration,Not specified,Not specified,"The Brand Communication Intern position at Procter & Gamble (P&G) offers students a significant opportunity to engage in marketing and communications within a leading fast-moving consumer goods company, starting in January 2026. Key responsibilities include supporting brand communication initiatives by executing communications toolkits that encompass public relations strategies, media partnerships, and event planning.",https://www.glassdoor.fr/job-listing/j?jl=1009692014813
[VO2 Group] - Assistant Comptable CDD,VO2 Group,Paris,CDD,2025-04-01,Not specified,tenue de la comptabilité; saisie des opérations comptables; participation aux clôtures mensuelles; révision des comptes; analyse des écarts; gestion des relations fournisseurs et clients; suivi des encaissements et paiements; lettrage des comptes; relance des factures; participation aux travaux de bilan; appui à l’équipe comptable; amélioration des processus internes; simplification des tâches comptables; contribution à des projets d'optimisation,French,28000.0 - 32000.0 EUR yearly,"VO2 Group, an independent French leader in Tech and Digital consulting with a global presence, is seeking an accounting assistant for a six-month maternity leave replacement. The primary responsibilities include managing daily accounting tasks such as recording financial transactions (invoices, bank statements, expense reports), assisting in monthly closings through account reviews and variance analysis, handling supplier and client relations by tracking payments and invoicing, and supporting...",https://www.glassdoor.fr/job-listing/j?jl=1009691262941
Gestionnaire service clients / ADV H/F,FED Supply,Issy-les-Moulineaux,Not specified,2025-04-01,Not specified,Supply Chain; SAP; Client Management; Problem Solving; Process Optimization; Relationship Building; Proactivity; Organization,Not specified,38000.0 - 38000.0 EUR yearly,"FED SUPPLY, a recruitment agency specializing in Supply Chain, customer service, import-export, transportation, and purchasing, is seeking a Customer Service Manager (H/F) for a one-month renewable interim position within an agri-food company located in Issy les Moulineaux. In this role, the candidate will be responsible for managing the order process for clients in the Out of Home sector, aiming to minimize exceptions and complexities to ensure optimal service at the best cost.",https://www.glassdoor.fr/job-listing/j?jl=1009693719359
Stage Conseil Interne : Business & Qualité H/F,CGI,Paris,Internship,2025-04-01,Not specified,Conduite du changement; coordination des avant-ventes; préparation d’audits; reporting; suivi des KPIs,French,Not specified,"CGI Business Consulting is seeking a motivated intern for a six-month position starting in June 2025, ideally suited for students from engineering schools, business schools, or universities looking to gain experience in a dynamic and innovative environment. In this role, the intern will be integrated into a close-knit operations team, working directly with top management while engaging in various internal consulting activities.",https://www.glassdoor.fr/job-listing/j?jl=1009691345826
SFE Business Partner,Takeda Pharmaceutical,Paris,CDI,2025-04-01,Not specified,analyse de données; optimisation de la performance commerciale; business intelligence; CRM; KPI; reporting; segmentation; stratégie de vente; communication efficace; gestion de projet; méthodologies pharmaceutiques; efficacité économique; analyse du ROI; IA; digitalisation des processus commerciaux,Anglais courant,Not specified,"The Business Partner SFE at Takeda plays a crucial role in enhancing sales and marketing efficiency by optimizing organizational models and customer engagement through strategic analysis and ROI calculations. Key responsibilities include evaluating field team performance via business intelligence tools, defining KPIs, conducting detailed reporting, and presenting insights to sales managers.",https://www.glassdoor.fr/job-listing/j?jl=1009692360047
Stage Business Developer H/F,Via Sana,Paris,Internship,2025-04-01,Not specified,relationnel; bienveillance; empathie; rigueur; pragmatisme; communication orale; communication écrite; persuasion; présentation de résultats,Not specified,1000.0 - 1000.0 EUR monthly,"Le poste de Sales chez Via Sana consiste à être le premier contact pour les professionnels de santé, en véhiculant la qualité, la bienveillance et l'énergie de l'équipe afin de les inciter à rejoindre les centres. Les responsabilités incluent répondre aux demandes d'information par divers canaux, organiser des visites pour permettre aux professionnels de se projeter dans leur nouvel espace de travail, les accompagner jusqu'à la signature et collaborer à l'amélioration continue des supports de...",https://www.glassdoor.fr/job-listing/j?jl=1009691260049
Stage en Intelligence Artificielle,Cloud factory Business Services,Nanterre,Internship,2025-04-01,Bac+3 à Bac+5,Python; APIs; traitement de données; environnement Linux; AWS Bedrock; AWS SageMaker; prompt engineering; Retrieval-Augmented Generation (RAG),Not specified,800.0 - 800.0 EUR monthly,"Cloud Factory Business Services (CFBS), a rapidly growing subsidiary of the Paragon Group, is seeking engineering students for a 3 to 6-month internship located in Paris Nanterre or Tigery. The role is part of a dedicated AI squad focused on enhancing the productivity of the IT department by designing and experimenting with innovative AI-based tools.",https://www.glassdoor.fr/job-listing/j?jl=1009691396229
Senior Business Analyst - Travel Retail (h/f),emagine Consulting SARL,Paris,Not specified,2025-04-01,Not specified,"Business Analysis; Data Analysis; Excel; Power BI; CRM; Project Management (Jira, Confluence); Change Management; Workshop Facilitation",English,Not specified,"Emagine is seeking a Senior Business Analyst for a large client in Paris, starting as soon as possible, with a full-time schedule that allows for 2 to 3 days of remote work each week. The role focuses on supporting a digital transformation project by analyzing sales teams' functional needs to deploy a new tool that enhances efficiency and data management.",https://www.glassdoor.fr/job-listing/j?jl=1009693526865
Internship - Platform (July/August 2025),Alice & Bob,Paris,Internship,2025-04-01,Not specified,Python; Git; relational databases; testing; tooling; CI/CD; GitHub; GitLab; scientific background in physics and/or electronics,English,Not specified,"Alice & Bob is seeking a motivated intern to join their Software Engineering team for a six-month internship starting in July/August 2025, aimed at contributing to the development of software for their pioneering quantum computer, which utilizes a new type of superconducting qubit.",https://www.glassdoor.fr/job-listing/j?jl=1009691599486
Analyste crédit H/F,Leasecom,Paris,CDI,2025-04-01,Bac +3/4,analyse financière; rédaction d'études; évaluation du risque; KYC; communication; négociation,Not specified,Not specified,"Leasecom, a leading French independent player in financial leasing and proponent of circular leasing, is seeking a proactive and team-oriented individual to join its growing team of 267 employees. The position involves managing financing requests from clients, including TPEs, SMEs, and large corporations, by conducting comprehensive tripartite analyses that assess financial, operational, and partner risks.",https://www.glassdoor.fr/job-listing/j?jl=1009693260113
Analyste financier - Cashflow Forecasting (F/H),Dassault Systèmes,Vélizy,Not specified,2025-03-31,Not specified,TM1; Business Objects; BI Reports; Oracle PeopleSoft; Excel; PowerPoint; Quick View; financial reporting software; financial analysis; cash flow forecasting; financial modeling,English,Not specified,"The role of Financial Analyst within the Financial Advisory team at Dassault Systèmes involves contributing to international financial projections and cash flow analysis to support various stakeholders. Key responsibilities include modeling statutory income projections based on group-level forecasts, participating in a project aimed at enhancing cash flow understanding, reviewing and analyzing legal entity projections to increase accuracy, and continuously improving the forecasting process in...",https://www.glassdoor.fr/job-listing/j?jl=1009690614342
SAINT LAURENT WW Client Development Intern,Groupe Kering,Paris,Internship,2025-03-31,Master's,analytical skills; data interpretation; clienteling; report generation; time management,English,Not specified,"Yves Saint Laurent is seeking a motivated and analytical intern to join its Worldwide Client Development Team for a full-time position starting in September 2025. The intern will support the team by conducting ad-hoc analyses of target audiences and products, generating reports on clienteling KPIs, and contributing to One-To-One campaigns.",https://www.glassdoor.fr/job-listing/j?jl=1009690536437
Controleur de gestion H/F,Actual Talent,Roissy,Not specified,2025-03-31,Bac+5 en contrôle de gestion/finance,Excel; outils de BI; Business Objects,anglais,45000.0 - 55000.0 EUR yearly,"Le poste de Contrôleur de Gestion H/F à Roissy-en-France est une opportunité pour des candidats passionnés par le pilotage financier et le rôle de partenaire stratégique, travaillant pour un acteur de référence dans le secteur des services financiers. Les principales responsabilités incluent la clôture analytique des produits, la production de reportings stratégiques, l'analyse des écarts financiers et la collaboration avec le marketing pour ajuster les hypothèses de volume/mix.",https://www.glassdoor.fr/job-listing/j?jl=1009691180293
Business Data Analyst (H/F),Adalan Consulting,Paris,CDI,2025-03-31,Bac +5 (Master / MBA) (Optionnel),Power BI; Tableau; Qlik; SQL; data governance; data quality; RGPD; data reporting; data cataloging; MDM; Collibra; Talend; Informatica,Not specified,55000.0 - 70000.0 EUR yearly,"Le poste de **Business Data Analyst Senior** chez Adalan requiert un candidat capable d'agir comme un lien entre les besoins métiers et les équipes techniques, en se concentrant sur la modélisation des données, l'analyse de la performance et la prise de décisions.",https://www.glassdoor.fr/job-listing/j?jl=1009691100648
COMMERCIAL/ BUSINESS DEVELOPPER H/F,FOOD SOCIETY,Paris,CDI,2025-03-31,Bac +3 (Licence / Bachelor) (Optionnel),Prospection; Gestion de comptes clients; Négociation; Elaboration de propositions commerciales; Suivi des devis et contrats; Service après-vente; Coordination logistique d'événements; Gestion des contraintes budgétaires; Communication verbale; Communication écrite; Mise en place de contrats et plannings,Anglais (Optionnel),35000.0 - 35000.0 EUR yearly,"Le poste proposé est celui d'un Commercial / Business Developer, orienté vers le développement commercial et la relation client, avec pour principales missions la prospection de nouveaux clients, la gestion des offres, la négociation des contrats, et l'accompagnement client durant tout le processus de réservation.",https://www.glassdoor.fr/job-listing/j?jl=1009690354375
Commercial / Business Developer (100% Leads entrants),Harper,Paris,CDI,2025-03-31,Not specified,commercial; lead management; customer service; real estate assessment; client conversion,French,30000.0 - 45000.0 EUR yearly,"The job opportunity is for a CDI position at a leading company in the commercial real estate sector, focusing on managing and converting incoming leads into satisfied clients without any prospecting required. The ideal candidate should have a structured approach, strong commercial instincts, and a results-oriented mindset.",https://www.glassdoor.fr/job-listing/j?jl=1009690773662
Consultant Avant-Ventes CATIA H/F,CATIA,Meudon,Not specified,2025-03-31,Bac +5,CATIA; 3DEXPERIENCE; mécanique; simulation; présentation; démonstration technique; pilotage d'activités; conseil méthodologique; bonnes pratiques,Not specified,Not specified,"The role of Consultant Avant-Ventes CATIA involves providing technical sales support for CATIA solutions, specifically within the “Mechanics and Simulation” domain, across the EuroWest region, which includes France, Spain, Portugal, Africa, and the Middle East. Key responsibilities include defining and implementing strategies for client opportunities, analyzing client needs, and demonstrating the value of CATIA solutions.",https://www.glassdoor.fr/job-listing/j?jl=1009690614348
Apprenti-e Communication digitale & Marque employeur,Murex,Paris,Not specified,2025-03-31,Master's,création de contenus; rédaction; communication; gestion des réseaux sociaux; création de vidéos; organisation d'événements; stratégie de marque employeur,English; French,Not specified,"Murex, a leading global fintech company specializing in trading, risk management, and processing solutions for capital markets, is seeking a motivated intern to join their employer branding team based in Paris. The role involves contributing to the implementation of the employer branding strategy by developing cohesive content for employees and candidates, creating communication tools such as videos, articles, and infographics, and collaborating with recruitment and business teams.",https://www.glassdoor.fr/job-listing/j?jl=1009691060151
Contrôleur interne H/F,SOLLY AZAR,Paris,Internship,2025-03-31,Master's,contrôle interne; cartographies des risques; actions de remédiation; contrôle permanent; audit; conformité; gestion des risques; Excel; reporting,Not specified,Not specified,"The role involves taking a leading position in establishing and managing the internal control framework within the company, ensuring robust risk management practices across various business functions. Key responsibilities include designing and structuring the internal control processes, developing and updating risk maps, implementing remediation actions for identified risks, establishing a permanent control system to monitor the effectiveness of these actions, and conducting second-level chec...",https://www.glassdoor.fr/job-listing/j?jl=1009690896540
HR Business Partner H/F,VERTICAL SEA,Sèvres,CDD,2025-03-31,Master's,Droit du Travail; solutions ERP; Suite Lucca; gestion de la formation; 360° Learning; Excel,Not specified,44488.0 - 49000.0 EUR yearly,"Vertical Sea, a consulting and engineering group specializing in construction and development, seeks a Human Resources Officer for a maternity cover position lasting five months. The successful candidate will report to the Group HR Director and will be responsible for various HR aspects within a designated scope, serving as a strong support and liaison to management and operational staff.",https://www.glassdoor.fr/job-listing/j?jl=1009691128737
E-commerce intern (F/M/X),AccorCorpo,Issy-les-Moulineaux,Internship,2025-03-31,Not specified,analytical skills; organizational skills; communication skills; Microsoft Excel; Microsoft Outlook; Microsoft PowerPoint,French; English; Spanish,Not specified,"Accor is seeking a passionate eCommerce Intern to join their Market & Trading team, providing an opportunity to gain hands-on experience in a dynamic, fast-paced environment. The intern will support daily operational tasks related to eCommerce activities, assist in data analysis and report preparation, and collaborate with various departments to ensure project timelines are met.",https://www.glassdoor.fr/job-listing/j?jl=1009691063105
SAINT LAURENT Stagiaire Contrôle de Gestion Retail H/F,Groupe Kering,Paris,Internship,2025-03-31,Bac+3 à Bac+5,Excel,Anglais courant,Not specified,"Yves Saint Laurent is seeking a trainee to join its Retail Management Control department, reporting directly to the Retail Controller and collaborating with regional management controllers in an international setting. The primary responsibilities of this role include consolidating and analyzing worldwide sales data by region, country, and product categories, along with handling weekly sales certifications in the internal Saint Laurent tool.",https://www.glassdoor.fr/job-listing/j?jl=1009690827894
Chef de groupe,FED Business,Ivry,CDD,2025-03-31,Bac +5,trade marketing; commercial animation; performance monitoring; sales analysis; promotional sales objectives; team leadership; data analysis; Excel; Google Sheets,Not specified,55000.0 - 55000.0 EUR yearly,"Fed Business is seeking a Group Leader focused on trade marketing within the DPH and Parapharmacy sectors for a fixed-term contract in Villejuif, offering a salary between €45,000 and €50,000, along with the option for two days of remote work per week.",https://www.glassdoor.fr/job-listing/j?jl=1009691029176
Responsable Commercial - Soutien Clients F/H,MBDA France,Le Plessis-Robinson,Not specified,2025-03-30,Bac +5 type Ingénieur.e ou formation équivalente,négociations commerciales; exécution de marché publics; contrats privés; soutien militaire; gestion de campagnes commerciales; élaboration d'offres; coordination de processus de validation; commercialisation; promotion des offres,anglais,Not specified,Le poste de Responsable Commercial Support Client au sein de la direction Sales and Business Development France chez MBDA implique la gestion complète des activités de Maintien en Condition Opérationnelle (MCO) et de soutien logistique pour les systèmes d’armes.,https://www.glassdoor.fr/job-listing/j?jl=1009690064589
Responsable de Projets Assurance - CDI -F/H,Mutex,Châtillon,CDI,2025-03-29,Bac +5,management; gestion de projets; méthodologie de gestion des projets; pilotage de projets; reporting; analyse; perspicacité; leadership; management transverse; élaboration de macro-planning; gestion des risques; calcul du ROI; communication; coordinating project stakeholders,Not specified,Not specified,"Mutex is seeking a Project Manager in the insurance sector to lead and oversee sensitive, large-scale projects aligned with the company's strategic directions and transformation plan. The role involves responsibilities such as drafting preliminary studies and project briefs, identifying resource needs, organizing decision-making processes, developing macro-plans, monitoring project milestones, generating essential deliverables, and ensuring a balance of quality, cost, and timeline while calcu...",https://www.glassdoor.fr/job-listing/j?jl=1009689583047
Marketing Trainee / Intern,Enea,Clichy,Internship,2025-03-29,Not specified,"writing skills; creative skills; project management; Microsoft Office; social media platforms (LinkedIn, YouTube); graphics creation tools (PowerPoint, Canva, or similar); sales/marketing tools (e.g., Salesforce, Pardot, Hootsuite); video software",English; French,Not specified,"Enea is seeking a passionate Marketing Intern/Trainee to join their dynamic marketing team, with opportunities for both long-term internships and trainees starting immediately. The position involves various responsibilities, including managing social media accounts, updating website content, assisting with email marketing campaigns, creating and editing video content, and supporting event logistics.",https://www.glassdoor.fr/job-listing/j?jl=1009689754900
RESPONSABLE COMPTABLE FOURNISSEURS (H/F),BELFOR,Sucy,Not specified,2025-03-29,Not specified,comptabilité fournisseurs; clôture mensuelle; Business Central; prévention fraude; spécificités comptables et fiscales; rédaction de procédures; gestion de projet; gestion du changement; outils IT; ERP; Excel,French,Not specified,"Le Groupe BELFOR France, leader mondial dans la décontamination et la remise en état après sinistres, recherche un responsable de la comptabilité Fournisseurs pour sa Direction Administrative et Financière. La personne retenue animera une équipe de quatre membres, tout en assurant la gestion des comptes fournisseurs pour BELFOR France et ses deux filiales.",https://www.glassdoor.fr/job-listing/j?jl=1009689798346
