title,company,location,contract_type,posted_date,education_level,skills,languages,salary_range,description,url
EY Consultant en Projets de Transformation Métier et IT - Secteur Assurance H/F,EY,France,CDI,2023-10-01,Bac +5,Gestion de projet; Analyse de données; Transformation digitale,Français; Anglais,Not specified,"EY est un leader mondial des services d'audit, de fiscalité, de conseil et de services transactionnels. Nous accompagnons nos clients dans leurs projets de transformation métier et IT, notamment dans le secteur de l'assurance. Nous recherchons un consultant pour rejoindre notre équipe dynamique et contribuer à des projets innovants.",https://skema.jobteaser.com/en/job-offers/d71e2e57-7f76-4d9e-8180-ce94bbd38cdd-ey-consultant-en-projets-de-transformation-metier-et-it-secteur-assurance-h-f
Stage Assistant e-Visual Merchandising Worldwide (F/H/X),Céline,Mars 2025,Internship,Not specified,"Bachelor's degree in Marketing, Business, or related field",Strong communication skills; Attention to detail; Creative thinking; Ability to work in a team,English; French,Not specified,"As a Stage Assistant in e-Visual Merchandising, you will support the team in creating and maintaining visual merchandising standards across all channels. Your role will involve assisting in the development of visual concepts, coordinating with various departments, and ensuring the brand's image is consistently represented.",https://skema.jobteaser.com/en/job-offers/d031b013-7ca1-43e2-9733-e30a865d7bd9-celine-stage-assistant-e-visual-merchandising-worldwide-f-h-x-mars-2025
Stage Sales Operations Assistant - Northern & Eastern Europe (F/H/X),Boucheron,"Paris, France",Internship,2023-10-01,Bachelor's degree in Business or related field,Analytical skills; Sales data analysis; Proficiency in Excel,English; French,Not specified,"Boucheron is looking for a Sales Operations Assistant for Northern & Eastern Europe. The role involves supporting the sales team, analyzing sales data, and assisting in the development of sales strategies. The ideal candidate will have strong analytical skills and a passion for luxury retail.",https://skema.jobteaser.com/en/job-offers/c802f93b-cb37-41d1-9ebc-ddc6d3cca2e7-boucheron-boucheron-stage-sales-operations-assistant-northern-eastern-europe-f-h-x
Assistant Chef de Produit H/F,Interparfums,"Paris, France",Internship,2023-10-01,Bachelor's degree in Marketing or related field,Market analysis; Product development; Communication; Team collaboration,French; English,Not specified,"Interparfums is looking for an Assistant Chef de Produit to join our team in Paris. The successful candidate will assist in the development and management of our fragrance products. Responsibilities include market analysis, product development support, and collaboration with marketing teams.",https://skema.jobteaser.com/en/job-offers/4eb674c4-0bbc-40c3-8d97-a8c6d9576356-interparfums-assistant-chef-de-produit-h-f
Ingénieur(e) Conseil - Rénovation Etudes Prospectives (6 mois),Pouget Consultants,Île-de-France,Stage,2023-10-01,Bac +5 en ingénierie,Analyse technique; Gestion de projet; Communication; Travail en équipe,Français; Anglais,Not specified,"Nous recherchons un(e) ingénieur(e) conseil pour rejoindre notre équipe spécialisée dans la rénovation et les études prospectives. Le candidat idéal aura une solide formation en ingénierie et une passion pour les projets innovants. Les responsabilités incluent la réalisation d'études techniques, la gestion de projets et la collaboration avec des clients variés.",https://skema.jobteaser.com/en/job-offers/3a392068-f978-42d5-aaab-42877a267da6-pouget-consultants-ingenieur-e-conseil-renovation-etudes-prospectives-6-mois-ile-de-france-_ref-s012
Stage Business Developer / Ingénieur d'Affaires H/F,AVL,"Lyon, France",Stage,2023-10-01,Bac +5,Business development; Market research; Sales support; Presentation skills,French; English,Not specified,"AVL is a global leader in the development of powertrain systems and offers a wide range of services in the field of vehicle development. We are looking for a Business Developer Intern to join our team in Lyon. The intern will assist in identifying new business opportunities, developing client relationships, and supporting the sales team in achieving targets. Responsibilities include market research, preparing presentations, and participating in client meetings.",https://skema.jobteaser.com/en/job-offers/c75f4f87-8430-4e45-a4a3-0dc7008da263-avl-stage-business-developer-ingenieur-d-affaires-h-f
Consultant(e) Stagiaire - Énergie & Mobilité (F/H),Colombus Consulting,"Paris, France",Internship,2023-10-01,Master's degree in a relevant field,Data analysis; Project management; Research skills,French; English,Not specified,"Colombus Consulting is looking for a Consultant(e) Stagiaire in the field of Energy and Mobility. The intern will assist in various projects related to sustainable energy solutions and mobility strategies. Responsibilities include conducting research, analyzing data, and supporting project management tasks.",https://skema.jobteaser.com/en/job-offers/cebe2ced-c2f9-4fb9-8fcf-583568165493-colombus-consulting-consultant-e-stagiaire-energie-mobilite-f-h
Stage conduite de travaux préparatoires à l'élaboration d'un scoring des dossiers de surendettement des ménages H/F,Banque de France,"Paris, France",Internship,2023-10-01,Master's degree in Finance or related field,Data analysis; Statistical modeling; Programming in Python or R,French; English,Not specified,"La Banque de France recherche un stagiaire pour participer à la conduite de travaux préparatoires à l'élaboration d'un scoring des dossiers de surendettement des ménages. Le stagiaire sera impliqué dans l'analyse des données, la modélisation et la mise en place de solutions pour améliorer le processus de scoring.",https://skema.jobteaser.com/en/job-offers/81cb78b7-0711-4c28-8921-4e18e68712b6-banque-de-france-stage-conduite-de-travaux-preparatoires-a-l-elaboration-d-un-scoring-des-dossiers-de-surendettement-des-menages-h-f
Stage Assistant Reconditionnement H/F,Samsung Electronics,France,Internship,2023-10-01,Bachelor's degree in a relevant field,Attention to detail; Teamwork; Problem-solving,French; English,Not specified,Samsung Electronics is looking for an intern to assist in the reconditioning process. The role involves working closely with the team to ensure quality standards are met and to support various tasks related to product refurbishment.,https://skema.jobteaser.com/en/job-offers/8b442bd1-06c2-47ba-a8bc-6600beb6ae52-samsung-electronics-stage-assistant-reconditionnement-h-f
EY Consultant Junior Design Strategist (F/H),EY Fabernovel,Paris,Stage,Sept 2025,Master's degree or equivalent,Design thinking; User experience design; Strategic planning,French; English,Not specified,Join EY Fabernovel as a Junior Design Strategist and contribute to innovative projects that shape the future of design and strategy. You will work closely with clients to understand their needs and develop creative solutions.,https://skema.jobteaser.com/en/job-offers/fac00cca-d431-44fd-b00d-dc45af8d84b7-ey-consultant-junior-design-strategist-f-h-ey-fabernovel-paris-stage-fin-d-etudes-6-mois-sept-2025
Stage Consultant en Actuariat - Secteur Financier (H/F),SKEMA Business School,"Lille, France",Internship,2023-10-01,Master en Actuariat ou domaine connexe,Analyse de données; Modélisation financière; Utilisation de logiciels statistiques,Français; Anglais,Non spécifié,"Nous recherchons un(e) stagiaire consultant(e) en actuariat pour rejoindre notre équipe dynamique. Vous serez impliqué(e) dans des projets variés liés au secteur financier, en apportant votre expertise en actuariat. Les missions incluront l'analyse de données, la modélisation financière et la préparation de rapports pour nos clients.",https://skema.jobteaser.com/en/job-offers/b6b95cf3-89f0-4463-8eca-efa2d37ce94c-ey-stage-consultant-en-actuariat-secteur-financier-h-f
Customer Onboarding Specialist,Medelse,Remote,Full-time,2023-10-01,Bachelor's degree,Excellent communication skills; Customer service experience; Project management; Technical proficiency,English; French,"€35,000 - €45,000","As a Customer Onboarding Specialist at Medelse, you will be responsible for ensuring a smooth onboarding experience for our clients. You will work closely with the sales and support teams to facilitate the onboarding process and provide training to new users. Your role will involve understanding client needs, providing product demonstrations, and ensuring that clients are set up for success with our platform.",https://skema.jobteaser.com/en/job-offers/665c63eb-ae23-4066-bed3-82dff9f6fcd3-medelse-customer-onboarding-specialist
Stage de fin d'études - Consultant en transformation digitale (F/H),Onepoint,"Paris, France",Internship,2023-10-01,"Master's degree in Business, IT, or related field",Analytical thinking; Project management; Communication skills; Knowledge of digital tools,French; English,Not specified,"Onepoint is looking for a final year intern to join our team as a Digital Transformation Consultant. You will work on various projects aimed at helping our clients navigate their digital transformation journeys. Your role will involve analyzing business processes, identifying areas for improvement, and proposing innovative solutions. You will collaborate with cross-functional teams and gain hands-on experience in the field of digital consulting.",https://skema.jobteaser.com/en/job-offers/3b8236e0-bd04-4540-be8c-2692af6582d6-onepoint-stage-de-fin-d-etudes-consultant-en-transformation-digitale-f-h
Talent Transformation Consultant (E-Stagiaire),IBM France,France,Internship,Not specified,Master's degree or equivalent,Analytical skills; Project management; Communication skills,French; English,Not specified,"As a Talent Transformation Consultant intern at IBM, you will work with clients to help them transform their talent strategies and processes. You will be involved in various projects that aim to enhance workforce performance and drive organizational change.",https://skema.jobteaser.com/en/job-offers/8ada15c8-74d3-4ede-aa5a-2ad235da6786-ibm-talent-transformation-consultant-e-stagiaire-ibm-france-h-f
Stage de fin d'études - Data Engineering (H/F),Onepoint,"Paris, France",Internship,2023-10-01,Master's degree in Computer Science or related field,SQL; Python; Data Modeling; ETL Processes,French; English,Not specified,"Onepoint is looking for a Data Engineering intern to join our team in Paris. The intern will work on various data projects, including data integration, data modeling, and data pipeline development. The ideal candidate should have a strong interest in data technologies and a desire to learn and grow in the field.",https://skema.jobteaser.com/en/job-offers/bf8d76e1-d55a-4f87-8ef1-bfc1b7ca6637-onepoint-stage-de-fin-d-etudes-data-engineering-h-f
CRM User Lifecycle Intern,Joko,"Paris, France",Internship,2023-10-01,"Bachelor's degree in Marketing, Business, or related field",Data analysis; CRM tools; Marketing strategies,English; French,Not specified,"As a CRM User Lifecycle Intern at Joko, you will assist in managing user engagement strategies, analyzing user behavior, and optimizing the customer journey. You will work closely with the marketing and product teams to enhance user experience and retention.",https://skema.jobteaser.com/en/job-offers/e53e503d-cdb8-4b1e-bbd8-d4636d38ef15-joko-crm-user-lifecycle-intern
Assistant Gérant ISR,Société Générale,"Paris, France",Internship,2023-10-01,Bachelor's degree in Finance or related field,Financial analysis; Research skills; Communication skills,French; English,Not specified,"Société Générale is looking for an Assistant Gérant ISR to support the management of socially responsible investments. The role involves analyzing investment opportunities, preparing reports, and collaborating with various teams to ensure compliance with ESG criteria.",https://skema.jobteaser.com/en/job-offers/27fe592f-9d8e-4f78-b358-48a475bee38a-societe-generale-assistant-gerant-isr
Support Analyst - Compliance,Société Générale,Region,Internship,2023-10-01,"Bachelor's degree in Finance, Law, or related field",Analytical skills; Attention to detail; Proficiency in Microsoft Office,English; French,Not specified,"As a Support Analyst in Compliance, you will assist in ensuring that the company adheres to regulatory requirements and internal policies. Your role will involve analyzing compliance data, preparing reports, and supporting the compliance team in various projects.",https://skema.jobteaser.com/en/job-offers/3eb39efc-594e-4b51-809b-abd7ffccee32-societe-generale-support-analyste-conformite-en-region
Stage Assistant(e) Chef de Projet Digital Experience H/F - Juillet 2025,Chanel,"Paris, France",Internship,October 2023,"Bachelor's degree in Marketing, Business, or related field",Project management; Digital marketing; Communication; Analytical skills,French; English,Not specified,"Chanel is looking for a Digital Experience Project Assistant Intern to join our team in Paris. The intern will assist in the development and execution of digital projects that enhance customer experience. Responsibilities include supporting project management tasks, collaborating with cross-functional teams, and contributing to the overall digital strategy.",https://skema.jobteaser.com/en/job-offers/8a792195-a083-44d5-b953-67aeb84fa1ae-chanel-stage-assistant-e-chef-de-projet-digital-experience-h-f-juillet-2025
EY Consultant Débutant en Transformation Digitale F/H,EY,"Paris, France",CDI,2023-10-01,"Master's degree in Business, IT, or related field",Analytical thinking; Project management; Communication skills; Digital tools proficiency,French; English,Not specified,"Join EY as a Consultant in Digital Transformation. You will work with clients to help them navigate their digital transformation journeys. Your role will involve analyzing business processes, identifying areas for improvement, and implementing digital solutions. You will collaborate with cross-functional teams and contribute to innovative projects that drive change.",https://skema.jobteaser.com/en/job-offers/1ff61e50-bb58-49e2-9af4-5d1798d82e66-ey-consultant-debutant-en-transformation-digitale-f-h-paris-f-h
